IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.43.243,443,443,true,FRA,Europe,Frankfurt,189,10.08
132.145.237.41,443,443,true,FRA,Europe,Frankfurt,160,10.04
158.178.146.40,443,443,true,FRA,Europe,Frankfurt,177,10.02
152.70.163.156,443,443,true,FRA,Europe,Frankfurt,171,10.01
144.21.43.40,443,443,true,FRA,Europe,Frankfurt,159,10.00
141.144.206.161,443,443,true,FRA,Europe,Frankfurt,170,10.00
143.47.248.74,443,443,true,FRA,Europe,Frankfurt,175,10.00
141.148.247.13,443,443,true,FRA,Europe,Frankfurt,180,9.99
193.123.33.89,443,443,true,FRA,Europe,Frankfurt,178,9.98
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,176,9.97
129.159.252.1,443,443,true,FRA,Europe,Frankfurt,167,9.96
138.2.177.42,443,443,true,FRA,Europe,Frankfurt,180,9.96
141.147.79.153,443,443,true,FRA,Europe,Frankfurt,204,9.95
141.145.206.16,8443,443,true,CDG,Europe,Paris,160,9.93
79.72.67.99,443,443,true,FRA,Europe,Frankfurt,186,9.92
143.47.227.228,443,443,true,FRA,Europe,Frankfurt,178,9.92
79.72.95.65,443,443,true,FRA,Europe,Frankfurt,203,9.88
141.147.90.231,443,443,true,FRA,Europe,Frankfurt,189,9.86
141.144.232.6,443,443,true,FRA,Europe,Frankfurt,178,9.82
138.2.162.14,443,443,true,FRA,Europe,Frankfurt,206,9.81
158.178.152.98,443,443,true,FRA,Europe,Frankfurt,175,9.80
129.159.242.180,443,443,true,FRA,Europe,Frankfurt,182,9.80
158.180.60.83,443,443,true,FRA,Europe,Frankfurt,168,9.80
130.162.166.97,443,443,true,FRA,Europe,Frankfurt,170,9.77
132.226.131.43,443,443,true,FRA,Europe,Frankfurt,179,9.75
144.21.51.110,443,443,true,LHR,Europe,London,189,9.72
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,169,9.69
141.147.68.249,443,443,true,FRA,Europe,Frankfurt,169,9.69
152.70.60.126,443,443,true,FRA,Europe,Frankfurt,180,9.66
141.144.197.198,443,443,true,FRA,Europe,Frankfurt,167,9.65
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,160,9.62
158.101.222.18,443,443,true,FRA,Europe,Frankfurt,171,9.62
141.148.238.17,443,443,true,FRA,Europe,Frankfurt,174,9.59
141.147.117.221,443,443,true,FRA,Europe,Frankfurt,169,9.59
141.147.83.213,443,443,true,FRA,Europe,Frankfurt,205,9.57
130.61.196.161,443,443,true,FRA,Europe,Frankfurt,178,9.56
84.235.170.47,443,443,true,FRA,Europe,Frankfurt,159,9.56
84.235.162.142,443,443,true,FRA,Europe,Frankfurt,181,9.56
144.21.35.26,443,443,true,FRA,Europe,Frankfurt,170,9.55
158.178.149.102,443,443,true,FRA,Europe,Frankfurt,173,9.54
141.144.194.75,443,443,true,FRA,Europe,Frankfurt,175,9.54
158.180.63.78,443,443,true,FRA,Europe,Frankfurt,175,9.53
158.101.208.210,443,443,true,FRA,Europe,Frankfurt,178,9.52
89.168.52.251,8443,443,true,CDG,Europe,Paris,153,9.51
141.147.77.165,443,443,true,FRA,Europe,Frankfurt,168,9.50
165.1.79.60,8443,443,true,SJC,North America,San Jose,184,9.46
144.24.166.5,443,443,true,FRA,Europe,Frankfurt,220,9.45
143.47.252.214,443,443,true,FRA,Europe,Frankfurt,203,9.45
130.162.171.22,443,443,true,FRA,Europe,Frankfurt,191,9.45
141.144.194.104,443,443,true,FRA,Europe,Frankfurt,177,9.44
141.148.241.211,443,443,true,FRA,Europe,Frankfurt,171,9.42
141.147.102.73,443,443,true,FRA,Europe,Frankfurt,170,9.42
130.162.169.91,443,443,true,FRA,Europe,Frankfurt,173,9.32
158.101.213.81,443,443,true,FRA,Europe,Frankfurt,195,9.32
140.238.94.192,443,443,true,FRA,Europe,Frankfurt,169,9.23
141.147.6.216,443,443,true,FRA,Europe,Frankfurt,176,9.17
146.235.199.98,443,443,true,SJC,North America,San Jose,193,9.14
141.147.80.194,443,443,true,FRA,Europe,Frankfurt,185,9.13
132.226.132.55,443,443,true,FRA,Europe,Frankfurt,169,9.12
132.226.213.159,443,443,true,FRA,Europe,Frankfurt,171,9.07
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,93,9.06
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,167,8.95
130.162.159.67,443,443,true,SIN,Asia Pacific,Singapore,214,8.86
158.101.218.179,443,443,true,FRA,Europe,Frankfurt,190,8.82
139.185.34.131,443,443,true,MRS,Europe,Marseille,111,8.77
129.146.133.33,443,443,true,LAX,North America,Los Angeles,244,8.75
130.162.136.39,443,443,true,SIN,Asia Pacific,Singapore,200,8.73
193.122.116.202,443,443,true,SIN,Asia Pacific,Singapore,213,8.63
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,168,8.62
193.122.117.212,443,443,true,SIN,Asia Pacific,Singapore,221,8.56
79.72.95.192,443,443,true,FRA,Europe,Frankfurt,176,8.55
193.122.116.202,443,443,true,SIN,Asia Pacific,Singapore,212,8.45
130.61.192.131,443,443,true,FRA,Europe,Frankfurt,178,8.43
64.110.84.53,443,443,true,SIN,Asia Pacific,Singapore,216,8.39
192.9.250.241,443,443,true,SJC,North America,San Jose,194,8.35
193.122.117.212,443,443,true,SIN,Asia Pacific,Singapore,237,8.34
141.147.119.249,443,443,true,FRA,Europe,Frankfurt,169,8.23
84.8.155.41,443,443,true,FRA,Europe,Frankfurt,191,8.22
193.123.235.221,443,443,true,SIN,Asia Pacific,Singapore,222,8.17
132.145.54.84,2053,443,true,LHR,Europe,London,159,8.16
132.226.208.189,443,443,true,FRA,Europe,Frankfurt,169,8.13
